Country,Year,Mission Name,Mission Type,Launch Site,Satellite Type,Budget (in Billion $),Success Rate (%),Technology Used,Environmental Impact,Collaborating Countries,Duration (in Days)
Israel,2014,Organized responsive moratorium,Manned,West Julianfort,Weather,6.79,60,Traditional Rocket,Medium,"Germany, India, USA",43
UK,2009,Compatible client-driven customer loyalty,Manned,Susanberg,Weather,40.54,88,Solar Propulsion,Medium,India,128
UK,2019,Devolved multimedia framework,Unmanned,New Lisamouth,Communication,3.25,86,Reusable Rocket,Low,"Germany, Japan",216
UAE,2007,Streamlined empowering strategy,Unmanned,Meganside,Spy,9.14,84,Nuclear Propulsion,Low,Japan,173
UK,2011,Decentralized needs-based application,Manned,Port Cameron,Navigation,3.12,66,Nuclear Propulsion,High,Germany,311
China,2017,Expanded actuating moratorium,Unmanned,South Courtneymouth,Research,35.89,86,Nuclear Propulsion,High,"USA, UAE, France",145
Russia,2003,Exclusive asynchronous archive,Unmanned,Brendaville,Weather,11.04,52,Nuclear Propulsion,Low,"Israel, USA, Germany",276
UAE,2015,Polarized user-facing complexity,Manned,Castroport,Spy,6.15,96,Traditional Rocket,Low,"Japan, Israel, France",70
Japan,2000,Upgradable scalable leverage,Unmanned,West Alexandriabury,Research,38.8,52,Solar Propulsion,Low,China,292
Japan,2000,Innovative encompassing data-warehouse,Manned,North Benjaminfort,Weather,38.87,82,Traditional Rocket,Low,"China, Germany, Russia",40
Israel,2012,Grass-roots upward-trending policy,Unmanned,Melissastad,Communication,39.44,91,Reusable Rocket,Medium,"Israel, China",97
USA,2015,Realigned fresh-thinking instruction set,Unmanned,Markborough,Research,1.02,67,Traditional Rocket,Medium,India,260
Japan,2019,Total tertiary middleware,Manned,Candaceberg,Spy,26.23,66,AI Navigation,Medium,USA,270
China,2017,Persistent well-modulated hub,Manned,Tinamouth,Navigation,11.62,89,Solar Propulsion,Low,"Russia, France",26
China,2000,Configurable homogeneous product,Unmanned,Gilberthaven,Navigation,26.49,78,Solar Propulsion,Low,USA,179
USA,2020,Switchable tangible access,Manned,West Beverlytown,Weather,35.23,98,AI Navigation,Medium,India,324
USA,2000,Right-sized methodical policy,Manned,Thomaston,Research,30.08,99,AI Navigation,Medium,"UAE, France",22
China,2012,Networked fresh-thinking frame,Unmanned,North Brian,Navigation,7.7,54,Traditional Rocket,Medium,Japan,243
USA,2004,Enterprise-wide user-facing throughput,Unmanned,Newtonhaven,Navigation,12.61,89,Nuclear Propulsion,Low,"UAE, Israel, UK",215
Israel,2002,Universal even-keeled groupware,Manned,New Kyle,Communication,27.49,51,Nuclear Propulsion,Low,"Japan, USA, Israel",164
UK,2014,Programmable reciprocal system engine,Manned,West Kimville,Communication,30.56,53,Traditional Rocket,High,"Germany, UAE, India",314
UK,2001,Business-focused bifurcated encryption,Unmanned,Grimesstad,Weather,39.74,51,Solar Propulsion,Low,"USA, Japan, India",158
France,2019,Operative encompassing application,Unmanned,Dianeborough,Research,19.91,60,AI Navigation,High,Israel,138
USA,2020,Public-key 24/7 algorithm,Unmanned,Timothychester,Communication,9.2,56,Solar Propulsion,Low,"Germany, Russia, France",255
Israel,2023,Cross-group solution-oriented service-desk,Unmanned,South Catherineland,Spy,32.32,94,Reusable Rocket,Low,"Germany, India",301
France,2022,Fundamental content-based frame,Manned,Melissatown,Communication,22.57,78,Solar Propulsion,High,"Germany, Russia",347
Japan,2022,Integrated encompassing installation,Manned,New Michael,Navigation,42.19,81,Reusable Rocket,Medium,France,330
Russia,2007,Grass-roots multimedia knowledgebase,Unmanned,Garcialand,Navigation,26.88,94,AI Navigation,Medium,Israel,158
Israel,2010,User-centric hybrid utilization,Unmanned,North Richard,Spy,28.19,53,AI Navigation,Low,"UK, Japan, India",38
Israel,2011,Distributed explicit encryption,Unmanned,New Jennifer,Spy,33.77,55,AI Navigation,Medium,France,110
Israel,2014,Triple-buffered stable contingency,Manned,Billyfurt,Weather,10.51,100,Traditional Rocket,Low,"China, Germany",194
China,2008,Self-enabling homogeneous matrix,Unmanned,South Kathrynberg,Weather,48.65,88,Traditional Rocket,High,China,11
Israel,2023,Operative composite challenge,Manned,North Melissa,Navigation,5.38,82,Traditional Rocket,Low,"UAE, India",39
Israel,2023,Diverse 5thgeneration adapter,Unmanned,Dustinborough,Navigation,30.12,59,Nuclear Propulsion,Low,"China, Japan, USA",112
India,2006,Cross-group local software,Unmanned,Rachelborough,Navigation,24.58,57,Nuclear Propulsion,High,"Japan, UAE",286
France,2015,Customer-focused multi-state installation,Unmanned,Lopezfort,Research,24.56,54,Nuclear Propulsion,Medium,"UK, India, Germany",214
France,2017,Reduced content-based standardization,Manned,Lake Davidtown,Communication,15.75,59,Solar Propulsion,Low,"India, Russia",238
India,2007,Team-oriented transitional installation,Manned,Erinbury,Navigation,36.49,64,AI Navigation,Medium,Japan,232
Israel,2012,Cross-platform tertiary definition,Unmanned,Jameshaven,Communication,34.49,65,Traditional Rocket,Low,"Israel, India",27
China,2016,Secured maximized product,Manned,Sydneytown,Weather,8.61,84,Traditional Rocket,Medium,USA,333
Israel,2005,Reactive object-oriented approach,Manned,Kennethborough,Weather,7.61,59,Nuclear Propulsion,High,"India, USA, France",112
Russia,2019,Open-architected bottom-line concept,Manned,Gonzalezfurt,Research,29.88,63,Traditional Rocket,High,"Israel, Japan",257
India,2024,Organic incremental synergy,Unmanned,Port Kylefurt,Spy,7.01,77,Reusable Rocket,Medium,Israel,188
China,2025,Proactive regional secured line,Unmanned,Michelleland,Communication,49.54,67,AI Navigation,High,"UK, Germany, Russia",312
Japan,2002,Mandatory needs-based leverage,Unmanned,West Victoria,Research,43.48,57,Nuclear Propulsion,Low,China,184
China,2009,Upgradable optimal info-mediaries,Manned,Toniborough,Weather,48.76,70,AI Navigation,High,"UK, Russia, India",301
Russia,2009,Customizable systemic secured line,Unmanned,West Kaylashire,Spy,31.18,81,Nuclear Propulsion,Medium,"India, Germany, UAE",34
China,2019,Distributed well-modulated encryption,Unmanned,Port Shirleyberg,Research,19.78,82,Nuclear Propulsion,Low,"Russia, India, USA",12
Israel,2000,Streamlined context-sensitive migration,Manned,South Amy,Navigation,48.38,94,AI Navigation,Medium,"China, Israel",189
UAE,2020,Profit-focused directional framework,Manned,Lake Kariberg,Research,15.15,55,Traditional Rocket,Low,"Japan, Israel",170
Japan,2003,Function-based 6thgeneration productivity,Manned,South Lisaland,Weather,6.82,65,Traditional Rocket,Medium,"Israel, UK, Germany",363
UK,2014,Synchronized optimal website,Manned,Kirbyside,Research,49.48,84,Reusable Rocket,Low,"UK, France, USA",1
India,2010,Stand-alone 24hour intranet,Unmanned,Port David,Weather,5.77,50,AI Navigation,Low,Israel,145
USA,2019,Re-contextualized impactful circuit,Unmanned,Nealburgh,Communication,38.49,77,AI Navigation,High,USA,147
Japan,2011,Business-focused fault-tolerant model,Manned,Longborough,Research,27.97,74,Traditional Rocket,High,"Japan, France",156
France,2000,Down-sized bottom-line policy,Unmanned,Lisaburgh,Spy,2.62,90,Nuclear Propulsion,Medium,India,209
China,2005,Exclusive composite website,Unmanned,South Ashley,Weather,41.56,53,AI Navigation,Medium,"UK, Germany, India",157
India,2009,Streamlined multimedia concept,Manned,Lake Connieville,Research,33.21,94,Traditional Rocket,Medium,France,282
UAE,2021,Phased intangible initiative,Manned,North Garyborough,Research,42.42,84,Nuclear Propulsion,Low,France,215
Russia,2019,Innovative next generation standardization,Manned,East Andre,Weather,23.09,56,Traditional Rocket,Medium,UK,248
India,2019,Assimilated interactive synergy,Unmanned,Michaeltown,Spy,32.23,54,Reusable Rocket,Medium,"China, UAE",1
Russia,2006,Quality-focused clear-thinking secured line,Unmanned,North Jasonshire,Navigation,16.94,68,Traditional Rocket,Low,"USA, UAE",131
USA,2019,Programmable real-time alliance,Manned,Lake George,Research,11.69,69,AI Navigation,High,China,262
USA,2020,Self-enabling global firmware,Manned,Jessicamouth,Communication,36.3,73,AI Navigation,Medium,China,337
China,2018,De-engineered incremental moratorium,Unmanned,Jadeton,Navigation,31.64,90,Traditional Rocket,Low,"Israel, Japan",260
Israel,2002,Open-architected web-enabled throughput,Manned,New Kathryn,Research,29.51,64,Reusable Rocket,High,"India, Israel",302
Russia,2005,Managed tangible attitude,Manned,New Christopher,Navigation,7.85,67,Solar Propulsion,High,UAE,1
China,2003,Up-sized uniform hardware,Manned,South Margaretland,Spy,16.85,77,Solar Propulsion,Medium,Germany,234
China,2018,Innovative demand-driven parallelism,Unmanned,South Kevin,Navigation,37.81,68,AI Navigation,Low,"Japan, Israel, Russia",293
UAE,2015,Optional coherent conglomeration,Manned,Robertland,Navigation,20.59,73,Nuclear Propulsion,Medium,"Russia, UAE",180
Israel,2018,Stand-alone analyzing ability,Manned,West Andrew,Weather,42.07,98,Reusable Rocket,Medium,"France, India",18
USA,2017,Streamlined transitional firmware,Manned,Coxbury,Research,2.07,81,Nuclear Propulsion,High,"Israel, UAE, USA",175
Israel,2012,Future-proofed client-server process improvement,Manned,Rodriguezview,Communication,24.71,79,Solar Propulsion,High,"China, USA",196
France,2019,Optional cohesive project,Manned,New Stephanieberg,Spy,4.23,74,Reusable Rocket,High,"Israel, USA",54
USA,2001,Implemented human-resource focus group,Unmanned,Nathanfurt,Weather,15.45,87,Nuclear Propulsion,Medium,"UK, UAE, France",146
UAE,2002,Visionary interactive hardware,Manned,Katherinetown,Weather,18.72,82,Traditional Rocket,Low,Japan,266
UK,2019,Future-proofed attitude-oriented customer loyalty,Unmanned,Gwendolynchester,Communication,27.17,97,Reusable Rocket,Medium,"Russia, France",137
UK,2012,Organic clear-thinking service-desk,Unmanned,New Steven,Communication,27.86,65,AI Navigation,Low,"Russia, China",351
China,2011,Ameliorated dedicated collaboration,Manned,North Charles,Research,43.81,64,Reusable Rocket,High,"China, UAE, Germany",155
Israel,2015,Customizable demand-driven conglomeration,Manned,Port Kellyview,Navigation,28.57,61,Traditional Rocket,High,UAE,175
UK,2004,Profound asymmetric encryption,Manned,Smithfort,Communication,48.65,94,AI Navigation,High,"China, UAE",178
UAE,2003,Triple-buffered foreground workforce,Unmanned,Smithfort,Weather,45.73,57,Traditional Rocket,Medium,UAE,51
UK,2013,Assimilated zero-defect protocol,Manned,New Williamstad,Communication,13.04,85,Nuclear Propulsion,High,"Russia, Germany, Israel",177
Russia,2001,Proactive value-added utilization,Unmanned,Brownchester,Weather,40.14,90,Solar Propulsion,Medium,"Russia, Israel, India",119
UK,2011,Expanded directional task-force,Manned,North Angelica,Weather,35.02,76,Reusable Rocket,Medium,"Germany, India",181
India,2015,Re-contextualized heuristic ability,Manned,Wardview,Communication,4.4,59,Solar Propulsion,Low,UK,30
UK,2011,Advanced optimal installation,Manned,Stoneshire,Communication,17.51,65,AI Navigation,High,India,328
Israel,2024,User-friendly multi-tasking concept,Manned,Fergusonfort,Navigation,40.42,71,Traditional Rocket,Low,"France, Russia, UAE",346
Germany,2013,Quality-focused fault-tolerant superstructure,Manned,Port Jessica,Weather,48.49,59,Traditional Rocket,High,"Israel, UAE",192
Germany,2009,Centralized hybrid alliance,Unmanned,Amychester,Communication,13.76,98,Traditional Rocket,Low,Israel,102
Russia,2008,Reduced asynchronous hub,Unmanned,South Williamborough,Weather,7.41,56,Traditional Rocket,Low,Japan,199
Japan,2005,Synergized exuding hierarchy,Manned,Leeview,Communication,25.47,86,Traditional Rocket,High,"UAE, UK",194
India,2011,User-centric secondary utilization,Unmanned,West Lauren,Navigation,3.48,81,Traditional Rocket,High,USA,273
France,2021,Stand-alone human-resource policy,Unmanned,East Alexis,Weather,26.03,94,Solar Propulsion,Low,"India, Israel",47
Israel,2000,Diverse cohesive toolset,Unmanned,Sarahfurt,Spy,25.31,61,Nuclear Propulsion,Low,"Israel, France",251
USA,2011,Integrated local contingency,Manned,North Sabrina,Spy,14.29,68,Reusable Rocket,High,India,362
UK,2015,Self-enabling mobile interface,Manned,Hardingchester,Navigation,21.08,74,Reusable Rocket,High,Germany,88
Japan,2017,Programmable full-range attitude,Manned,Adamshaven,Spy,9.72,88,Traditional Rocket,Low,"France, Israel",136
UAE,2008,Configurable stable encryption,Manned,Williamsborough,Navigation,3.06,74,Nuclear Propulsion,Low,Russia,127
UK,2001,Automated heuristic flexibility,Unmanned,East Kyle,Communication,3.75,93,Nuclear Propulsion,Medium,"USA, China",358
Japan,2015,Operative optimal budgetary management,Unmanned,Millermouth,Spy,42.87,91,Solar Propulsion,Low,Russia,227
India,2010,Proactive systemic support,Manned,Turnerland,Navigation,24.58,57,AI Navigation,Low,"Russia, Japan, USA",82
Russia,2013,Digitized full-range knowledgebase,Manned,New Rodneyfurt,Communication,42.19,81,Traditional Rocket,Medium,"Russia, Japan",167
France,2002,Organic encompassing complexity,Unmanned,South Sheila,Communication,2.22,75,Nuclear Propulsion,Medium,"France, Russia",172
UK,2005,Automated needs-based open architecture,Manned,New Veronica,Research,12.31,96,Solar Propulsion,Low,France,51
Germany,2011,Total discrete website,Unmanned,South Brian,Spy,10.49,90,AI Navigation,Low,"France, USA",215
Russia,2024,Networked next generation matrix,Unmanned,Staffordton,Communication,25.46,92,Traditional Rocket,High,Japan,64
UAE,2013,Synergized stable utilization,Unmanned,New Michael,Spy,6.98,87,Solar Propulsion,Low,Japan,356
Israel,2012,Grass-roots bottom-line attitude,Unmanned,Morenochester,Weather,6.43,79,Solar Propulsion,Low,"UAE, Germany",103
Russia,2023,Streamlined zero tolerance moratorium,Unmanned,Port Mandy,Weather,34.84,50,Traditional Rocket,High,UAE,299
Israel,2022,Customer-focused leadingedge flexibility,Manned,Ramirezhaven,Research,47.95,92,AI Navigation,Low,"Japan, Israel",128
Japan,2000,Switchable system-worthy neural-net,Manned,New Alexander,Spy,38.57,63,Solar Propulsion,High,Germany,122
UAE,2002,Realigned mission-critical neural-net,Unmanned,Ramirezside,Weather,5.97,59,Solar Propulsion,High,"USA, UAE",333
USA,2011,Reverse-engineered non-volatile installation,Manned,Sierramouth,Navigation,11.47,65,Traditional Rocket,Low,"France, Israel",166
Israel,2016,Realigned coherent architecture,Manned,New Jacksonshire,Navigation,19.33,80,AI Navigation,Low,"UK, Germany",277
France,2012,Programmable zero tolerance hub,Manned,Jillmouth,Weather,40.6,78,Traditional Rocket,Low,"China, France",149
Russia,2002,Ergonomic web-enabled infrastructure,Unmanned,Simmonsfurt,Research,33.87,77,AI Navigation,Low,"USA, Israel",40
UAE,2000,Extended web-enabled challenge,Unmanned,East Nichole,Weather,18.06,97,Traditional Rocket,Medium,"India, Russia",249
UAE,2011,Progressive needs-based Internet solution,Unmanned,Lake Megan,Communication,6.72,86,Solar Propulsion,Medium,"USA, Israel",65
UAE,2022,Organic 6thgeneration Internet solution,Manned,Laurahaven,Navigation,43.91,89,Traditional Rocket,High,"USA, India, Israel",152
Israel,2017,Multi-lateral uniform core,Unmanned,North Wayne,Weather,34.39,54,Nuclear Propulsion,High,"France, UK, Germany",334
China,2009,Automated non-volatile Local Area Network,Manned,New Randy,Spy,12.49,88,Solar Propulsion,High,"Japan, UK",244
Israel,2024,Assimilated regional process improvement,Unmanned,West Anthonychester,Navigation,48.48,99,AI Navigation,Low,"France, Germany",345
Israel,2010,Diverse attitude-oriented projection,Unmanned,North Mitchell,Research,31.12,53,Solar Propulsion,Low,"India, UK, USA",222
India,2015,Operative static hierarchy,Manned,Spencerview,Communication,0.82,94,Solar Propulsion,Medium,"UK, France, India",124
Japan,2008,Fundamental encompassing database,Unmanned,North Shannonburgh,Communication,20.89,99,AI Navigation,High,"Japan, Germany, China",287
USA,2016,Profound mission-critical implementation,Manned,East Waynemouth,Communication,29.44,93,Reusable Rocket,High,"Germany, USA",295
India,2015,Devolved zero administration artificial intelligence,Manned,Sarashire,Communication,20.7,91,Solar Propulsion,Low,UAE,125
France,2010,De-engineered uniform solution,Manned,Beckerton,Weather,17.05,76,Nuclear Propulsion,Low,"USA, China, Israel",172
India,2001,Persistent intermediate success,Unmanned,Smithside,Spy,8.44,85,AI Navigation,High,France,175
China,2007,Reduced analyzing productivity,Unmanned,Debraton,Spy,24.79,52,Traditional Rocket,Low,"Israel, Japan",251
UK,2021,User-friendly asynchronous extranet,Unmanned,Kennethfort,Communication,29.77,79,Traditional Rocket,High,France,339
China,2024,Distributed well-modulated benchmark,Unmanned,Wilsonbury,Weather,26.97,96,Reusable Rocket,High,"Japan, UAE",250
UAE,2010,Decentralized disintermediate artificial intelligence,Unmanned,Schwartzhaven,Research,30.43,60,Solar Propulsion,Low,"France, Germany",75
Japan,2001,Up-sized zero tolerance info-mediaries,Manned,South Anthony,Weather,22.1,66,Reusable Rocket,Low,Germany,149
India,2005,Profound zero tolerance toolset,Unmanned,Port Heathertown,Communication,13.45,84,Solar Propulsion,Low,"Japan, USA, France",139
Germany,2001,Reactive homogeneous algorithm,Unmanned,Brennanhaven,Navigation,30.5,51,Nuclear Propulsion,Medium,"Israel, China",356
Israel,2009,Reduced asymmetric array,Manned,North Jody,Navigation,41.64,86,Nuclear Propulsion,High,"Israel, USA, France",78
